Name,type,radius,mode,has_arm,n_uses,class_id
VisitorKidWalk,a,0.85,0,0,5,20
PatientRollingWalker,a,1.0,0,0,6,20
DoctorFemaleWalk,a,0.85,0,0,5,20
FemaleVisitorWalk,a,0.85,0,0,6,20
MaleVisitor,a,0.85,0,0,5,20
PatientWalkingCane,a,0.85,0,0,5,20
NurseFemaleWalk,a,0.85,0,0,6,20
MaleVisitorPhone,a,0.85,0,0,6,20
OpScrubsWalk,a,0.85,0,0,6,20
TrashBin,o,1.0,0,0,5,30
OfficeChairBlue,o,0.5,0,0,5,30
aws_robomaker_warehouse_TrashCanC_01,o,0.5,0,0,7,30
aws_robomaker_warehouse_PalletJackB_01,o,0.8,0,0,7,30
OfficeChairGrey,o,0.5,0,0,6,30
cart_model2,o,0.8,0,0,6,30
pallet_box_mobile,o,0.8,0,0,7,30
AdjTable,o,1.0,0,0,7,30
robotino,r,0.3,0,0,5,10
Mecanum_lift,r,1.4,1,0,6,10
pioneer3dx_migration_sensor_config_1,r,0.5,0,0,7,10
pioneer3at,r,0.5,0,0,9,10
youbot,r,1.0,1,2,7,10
rbkairos_migration_sensor_config_2,r,1.3,1,1,8,10
rbkairos_migration_sensor_config_1,r,1.3,1,1,8,10
